Time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104
01/01/18 01;0.5388248856024236;0.6616945074086894;0.5016915376772639;0.6174441129178607;0.43062281409739034;0.586156424131726;0.3406117504542701;0.9661538461538461;0.45903954802259883;0.2736705577172503;0.625257890867699;0.2812335266209805;0.07425149700598803;0.12389424387342964;0.5019997654998111;0.4532475884244372;0.5976578761606546;0.3595713691219309;0.0;0.5654952076677315;0.25626944617299313;0.11702127659574468;0.0;0.6049136674984509;0.5408796895213455;0.45733953849137093;0.5884095182257445;0.25472547254725475;0.40428861444763997;0.6524265576240181;0.42194414277146514;0.572748677614786;0.6238336758068822;0.0;0.5497188223618922;0.616675369886858;0.23100987186260194;0.5391239502139523;0.5619811688673463;0.5016191352345907;;0.33770368341777346;0.5055977484841586;0.5666174046495766;0.5848703751237578;0.6175899423467142;0.7241379310344828;0.21311475409836064;0.593578197537375;0.4403058028147795;0.4648969141625118;0.12075303814362985;0.5018016472203157;0.5455966838775362;0.2076919644848972;0.40932075216144836;0.29135838033971684;0.17857142857142858;0.49256342957130356;0.6157399967387507;0.557359960498162;0.0;0.608261158617443;0.5879636218724204;0.29868434267349603;0.487864448175851;0.35382887625465015;0.5933607639592312;0.5810051290999055;0.2823987984551567;0.7137411696463716;0.5691180746915546;0.3922044548172225;0.5496654547019212;0.30985915492957744;0.4613629983155531;0.5985113014009501;0.21880885483184334;0.12903225806451613;0.6246569174028648;0.5438714902807775;0.5718133974076507;0.551162298600405;0.5842874562528703;0.5046922275680769;0.4995044704227453;0.5888030462091423;0.5320802480863202;0.6142358569881872;0.4299347471451876;0.5757244288249826;0.5374721774247292;0.26648849532344676;0.4966938783424793;0.3925983760149906;0.3419039370647035;0.38390225757532404;0.1487603305785124;0.08888888888888889;0.45613546799587573;0.5490196078431374;0.569266019079148;0.0;0.5720472386818264
01/01/18 02;0.5012054798372075;0.6324812689125362;0.44309018444712206;0.5796177268718006;0.4197941888619855;0.5956734864582255;0.3475772259236826;0.9323076923076923;0.47663296659728416;0.27898832684824904;0.6355438829471887;0.2640133544192585;0.06826347305389222;0.14597973952043233;0.5060514076525229;0.425123258306538;0.5246067802132165;0.3689970869746151;0.0;0.5563365282215122;0.2521313005600498;0.1276595744680851;0.0;0.5453768987288774;0.5819663648124191;0.44402430353564737;0.5682631461900814;0.19801980198019803;0.3937151074268313;0.4976595286774992;0.3847113935130404;0.5669957253129132;0.6161792367909711;0.0;0.5481971551438968;0.5648041775456919;0.2456778230108663;0.4668418529500542;0.37456125689453446;0.46235510579576816;;0.3354614541969054;0.42010015934441153;0.5308361280054568;0.5823768838693117;0.6160849446549929;0.8199233716475096;0.21311475409836064;0.5671548769086944;0.43170832757906363;0.5256535507344023;0.12670054089493524;0.4810398078242965;0.4825830848665552;0.19475304510775002;0.40553962843405045;0.2628685932399772;0.17857142857142858;0.5039370078740157;0.6549523545345058;0.5752455148954847;0.0;0.6125554475566466;0.5283652614500014;0.22577081450236017;0.4054342848420089;0.2846213237874641;0.5687360722044862;0.5628409386450354;0.30392647689887;0.6570093845165834;0.611975019732196;0.3927559274263479;0.5711258363632452;0.28169014084507044;0.44223750701852893;0.5825834367151805;0.23485596707818931;0.11827956989247312;0.6129813877691055;0.46560475161987047;0.5440691071443418;0.5049877573229345;0.6859708299681695;0.45235851396260107;0.4997389145238121;0.6241881817049518;0.5483910289630136;0.5857411585384293;0.406973898858075;0.6173932789880429;0.49871383065214786;0.24034247306091966;0.45709798142366836;0.40240474703310425;0.35201724946772045;0.41998340438925297;0.17355371900826447;0.1;0.4538659552530537;0.501417434443657;0.5727549331358627;0.0;0.5255303353176513
01/01/18 03;0.4947036206569338;0.6083206784505957;0.4272986375011586;0.5800777375913163;0.3621199892386333;0.6040498762460862;0.3383706844336765;0.9323076923076923;0.47633561304390915;0.3441418071768266;0.6098022243828405;0.2262344052011949;0.07425149700598803;0.1244329144989663;0.5014656261806433;0.40621650589496244;0.5412405654400985;0.3836246358718269;0.0;0.5647674831380901;0.2385034225264468;0.09574468085106383;0.0;0.5113798127648173;0.5351099611901682;0.47892831749725295;0.5986697127145543;0.22521537868072522;0.31868550160717307;0.5829387711180459;0.39891073541568733;0.5466179229326198;0.6439164902565757;0.0;0.5525636784651008;0.47672758920800695;0.2406849187358215;0.43333747625219726;0.4103849796646052;0.384655013799448;;0.30848623853211005;0.43250543219584875;0.4527510941851873;0.5935975945143191;0.581192360134417;0.7624521072796935;0.21311475409836064;0.5815375026967423;0.4153965424162911;0.4626061177738849;0.1267473716252605;0.5270247083047357;0.5173078321576613;0.19162985767188687;0.4505406442583354;0.31164014327503337;0.16071428571428573;0.5021872265966754;0.6586616316232935;0.6285729961046799;0.0;0.6382999595731024;0.5027397455238963;0.22617254193030026;0.48496412761410473;0.3155518120773964;0.5400588896883667;0.5183275611755449;0.2560395111174685;0.6677197489175695;0.548527355054904;0.3766263204769909;0.5501925517953572;0.2676056338028169;0.43513124649073553;0.5591818209325546;0.19972640840073788;0.13978494623655913;0.5777582411298854;0.4699195464362851;0.572029565087257;0.5243946676339892;0.6479167656420733;0.46922275680769804;0.47701914982043714;0.510791622924859;0.5568241386656467;0.6088345057430941;0.3890701468189233;0.5931260659055495;0.487264924229298;0.24961093922258973;0.4254910705629133;0.5194253591505309;0.3380095750183441;0.37331540244356065;0.1487603305785124;0.08888888888888889;0.4296616779156045;0.5095676824946846;0.5355501589928997;0.0;0.5224026286484182
01/01/18 04;0.4820232379961621;0.6026818115836841;0.4000139030494022;0.5694974910424517;0.36087570621468923;0.5616627478390549;0.38067837674136884;0.963076923076923;0.4640945584299732;0.2980977086035451;0.5502086841044369;0.20620277631347741;0.040718562874251504;0.14651841014596897;0.532654151304733;0.3818220793140407;0.563937808829119;0.3770079067831877;0.0;0.5309194178203762;0.25192906036092094;0.1276595744680851;0.0;0.554252985212105;0.4624320827943079;0.468101609462866;0.5381194023815782;0.19258711585444258;0.28019793605142956;0.4924136446787905;0.42931937172774864;0.5156841036996033;0.6354488058950976;0.0;0.5551438967912669;0.38482158398607486;0.23773268280555643;0.4849345714742282;0.41534347317399295;0.3375528978840846;;0.2581644529645351;0.49051259234732947;0.424330699710112;0.5303252539327491;0.5707567933178016;0.7318007662835249;0.21311475409836064;0.5331639379629408;0.4308608805915808;0.47308314243363425;0.11066101575854075;0.443891557995882;0.4286960948294669;0.1882835854191764;0.4379557100611752;0.16633163806743922;0.17857142857142858;0.7847769028871392;0.44087407683876123;0.5640533274812092;0.0;0.5994524993961706;0.5201887222111525;0.47765391182082956;0.4274156617310334;0.24812241173580404;0.5252506828549274;0.5162638227267191;0.24736963397383938;0.6609144206666528;0.5011077724081587;0.3681983149933479;0.5143176781910888;0.23943661971830985;0.3956871139809096;0.5481799751883567;0.19628976869589895;0.12903225806451613;0.5901020670726478;0.4747213822894169;0.5393882454667144;0.5227471962758078;0.6215022091310751;0.46049303109964784;0.4410000106565501;0.49602320243412035;0.5065838278876368;0.5876645960478802;0.38115823817292005;0.522513450890568;0.42117048074744434;0.22550659696290765;0.4394717961645111;0.4662710805746408;0.32801354456112497;0.3810123322555724;0.14049586776859505;0.1;0.4222779573531365;0.4538152610441767;0.5190682580476543;0.0;0.48487014861762245
01/01/18 05;0.46170229216895;0.5811243118907511;0.4127583650013903;0.5571236247156585;0.3482311003497444;0.5596689450777963;0.3299818291944276;0.9261538461538462;0.47559222916047184;0.22870730652831817;0.548305627356589;0.2376559479880513;0.08622754491017964;0.12497158512450296;0.46339842884873433;0.36514469453376197;0.5175116291697587;0.3276113191843529;0.0;0.5316826411075611;0.24323273179838206;0.11702127659574468;0.0;0.5394148481854265;0.44111254851228976;0.45131213237670476;0.5399793785253624;0.17915005786292915;0.2638935882253426;0.5260949101474228;0.4425299466714214;0.5056355137312789;0.5926696175263684;0.0;0.814555077737347;0.443585726718886;0.24517024560531198;0.4768026135899576;0.38397682322134935;0.35008279668813247;;0.28858003560180745;0.40553152743000226;0.42364861024271017;0.5352388984635694;0.5544807446614346;0.8045977011494254;0.21311475409836064;0.5602951634425614;0.4040219206287429;0.43649777657997574;0.10848338679841713;0.47108785175017154;0.4440404334230238;0.2094766430196761;0.43315876204880477;0.30904534853918353;0.16071428571428573;0.8057742782152231;0.24057311404422785;0.5539035496790475;0.0;0.5920092025175934;0.47116506788875917;0.5059756954906096;0.46496718058311703;0.21272314639339276;0.5366296655931931;0.5310577204805156;0.24558162081406254;0.598402767707319;0.4644266585430023;0.36109638627519325;0.49393300488371594;0.2535211267605634;0.3665251263335205;0.5436836212896002;0.1835714488434795;0.12903225806451613;0.5734125282328387;0.446085313174946;0.4844400841391122;0.4957226202351803;0.5350056218030944;0.4223500818411785;0.4886134762731913;0.5230689845376416;0.490577642333064;0.568557240411543;0.3226753670473083;0.518201736493223;0.44606752055871735;0.23009868772004693;0.43648562176416983;0.447314178638351;0.3394710884967462;0.3812698503533721;0.1487603305785124;0.08888888888888889;0.43830668167930725;0.427710843373494;0.546331184388204;0.0;0.49392331275691875
01/01/18 06;0.4639937582151869;0.5707119488147214;0.35845537121141907;0.5521943355377273;0.3249596448748991;0.5740906260000516;0.3602362204724409;0.9446153846153846;0.42903161859450883;0.23839169909208818;0.5707332400578625;0.2262344052011949;0.040718562874251504;0.14651841014596897;0.4426060787660078;0.385166130760986;0.48171007620047424;0.33412401165210154;0.0;0.5782747603833865;0.23142501555693837;0.11702127659574468;0.0;0.5224832945353453;0.48031047865459253;0.439014931161528;0.5268483512928855;0.16227337019416227;0.2790348502791406;0.43669966641558167;0.44961340832833546;0.4986430174985392;0.5615055592458547;0.0;0.8130995699636122;0.35355961705831157;0.23989765582108416;0.45640169741304315;0.3590729288539751;0.4201655933762649;;0.2762563330138299;0.4105912298491402;0.39060990166543513;0.48349895493381245;0.516893378997885;0.7126436781609196;0.2786885245901639;0.5496640058808959;0.4585504262344478;0.42164128823608676;0.09174140070714402;0.37602951269732326;0.5110901025379972;0.23624682104135997;0.4054493329420528;0.2602208435095181;0.19642857142857142;0.8101487314085739;0.27713598820513474;0.5617490536017996;0.0;0.5486087612966868;0.4808146651105861;0.2868333835492618;0.48183483437643104;0.24898809106010625;0.5454316830714849;0.5202555002847671;0.24959869037969454;0.6143854488202026;0.5666948225487073;0.38869150267727426;0.5171145199113616;0.2535211267605634;0.3724557832678271;0.529910133438228;0.1577894139350078;0.12903225806451613;0.5553863967750237;0.42784827213822896;0.5097483309360892;0.45715063027115255;0.5515701458501592;0.4916918803630772;0.4612474557486759;0.5036031387341863;0.4660427877591143;0.6580696671485342;0.3646818923327896;0.5178921775108495;0.42410268029695186;0.21280397595931577;0.34977021969711664;0.45471580262336037;0.39299375699180833;0.4102263297948439;0.15702479338842976;0.08888888888888889;0.44561629841418443;0.3734939759036145;0.5193786208999434;0.0;0.4911255619560884
01/01/18 07;0.4527402700555997;0.5845857945219246;0.38655111687830196;0.5570898624610151;0.2651331719128329;0.5485280353526492;0.36417807389460927;0.9261538461538462;0.5380612548319952;0.20376134889753564;0.5666662714316204;0.23115445440168686;0.0874251497005988;0.1244329144989663;0.47719485662919003;0.37513397642015;0.49148400876033954;0.31377444860590925;0.0;0.5364749733759319;0.23963907902924703;0.10638297872340426;0.0;0.5255815511379813;0.39640362225097026;0.4319533320405921;0.4904271879991104;0.18770091294843771;0.2773853831838945;0.48192187668137315;0.3325336748091356;0.5052856967124888;0.5655221221357933;0.0;0.8107839894144888;0.37521322889469105;0.23713187689694112;0.4447186662168641;0.4282689843445317;0.39208831646734127;;0.2364610434068191;0.41243300291786517;0.36484496674813843;0.5320120274284038;0.551700074079641;0.7931034482758621;0.26229508196721313;0.5429161572820034;0.5112867383962537;0.466716076000539;0.09679911958226989;0.33261839396019216;0.4868736819140427;0.24472404408155987;0.3878755728120274;0.2115022484690711;0.19642857142857142;0.8066491688538933;0.2342143533205919;0.5351401766609973;0.0;0.5579673807703248;0.468347043921323;0.24043386562217534;0.46397496565409857;0.27954423153412417;0.5089801535463049;0.5030748262591479;0.25279724725440644;0.6293850344927596;0.5832352493180276;0.49869238324295334;0.5157253501430692;0.2535211267605634;0.395529197080292;0.5383652152863929;0.1903686675180928;0.15053763440860216;0.5602931926694685;0.4218952483801296;0.4938267499189371;0.45731688884858374;0.5619427684608929;0.43360944397599327;0.413356919830774;0.4910232914005089;0.49134808932431023;0.6278148419212601;0.3620309951060359;0.5124859509972552;0.44182915939170186;0.22373075144919805;0.3591941207267651;0.3714553404122423;0.42727617191728917;0.7707230535923775;0.1487603305785124;0.1;0.4336639487883408;0.37077722655327194;0.5120941869582263;0.0;0.5010792306529003
01/01/18 08;0.43977872591676215;0.5748573534173766;0.4171262396885717;0.5481470852623539;0.26109765940274415;0.5596777932463737;0.3069000605693519;0.9261538461538462;0.5567449697690554;0.2642455685257241;0.5375749958500321;0.2333509049376208;0.06946107784431138;0.14597973952043233;0.4303860133665108;0.4093033226152197;0.5025430324530761;0.3287765293383271;0.0;0.484735534256301;0.22853142501555693;0.11702127659574468;0.0;0.5647870576610674;0.4823544631306598;0.4308383427057074;0.5079352243090794;0.23736659380223737;0.2716756893926578;0.44450123749058434;0.35760945326049953;0.5075729618353476;0.5312106181285424;0.0;0.8123056566324842;0.3563098346388163;0.20910117364326633;0.45551392908506605;0.47451111482533836;0.42231830726770925;;0.3066719156511023;0.41714090598679715;0.3616229466264992;0.5572952953687067;0.5451295320099202;0.7394636015325671;0.2786885245901639;0.5386732826745292;0.5177963867371408;0.45300498585096344;0.09621373545320439;0.3309025394646534;0.5092720529416043;0.24583946816579666;0.4280796406239418;0.21674479293538004;0.21428571428571427;0.7935258092738409;0.3205875198166473;0.5745322872661436;0.0;0.5403493187131062;0.45405055364208247;0.2798031535603093;0.5490764768737597;0.19861491308111648;0.5126336893726117;0.5161609444391404;0.2700694543778509;0.6496023492366017;0.5917166318179929;0.5260296682953133;0.5127486499860158;0.2535211267605634;0.41151389668725435;0.5545211050258706;0.16990180218532708;0.20430107526881722;0.5695171112445322;0.47039686825054;0.49431728426881283;0.4660227925395241;0.5649357847562038;0.47978770894300876;0.45608968552520807;0.49403035533175566;0.4976550042293956;0.6683642918060352;0.3288336052202284;0.48877152181185757;0.4251289501392795;0.22210302642341476;0.360919896841248;0.3609618988132417;0.48568558815392204;0.5207874331168274;0.14049586776859505;0.08888888888888889;0.4530928780623572;0.46562721474131824;0.5409070762730321;0.0;0.49595804061206816
01/01/18 09;0.441036923531107;0.5761693669953214;0.38717675410139957;0.5648425201834979;0.2587772397094431;0.5731081086840466;0.2866141732283464;0.9384615384615385;0.561725641788086;0.24565499351491568;0.5721264435960066;0.25443683008258655;0.06706586826347306;0.1454410688948957;0.4587084250706758;0.37101822079314034;0.47019855562996615;0.35736579275905117;0.0;0.5382321618743344;0.25248911014312386;0.10638297872340426;0.0;0.5185309239503609;0.43112548512289783;0.4098312972658522;0.46881507389361743;0.17503536067892503;0.26776349179495856;0.5633272355536426;0.3441233203118668;0.5189400928744964;0.5668444218198072;0.0;0.807542176645716;0.3680765883376849;0.21989496255321794;0.46524386995969536;0.4026408156443256;0.4632014719411224;;0.2687251814322881;0.40968069035448956;0.36369578809753883;0.6182574896410105;0.5638212211330964;0.7432950191570882;0.2786885245901639;0.53592060790565;0.5318514519591718;0.4595404931949872;0.14618212471023487;0.373627316403569;0.4205148716456985;0.2509704189532861;0.45156775547980765;0.3123815131995619;0.19642857142857142;0.78915135608049;0.2342143533205919;0.5604871893345037;0.0;0.5408542616771458;0.47110813811163926;0.26353319272873355;0.5888413982598076;0.26386841674270606;0.49111066091974104;0.5492877530394361;0.2521813760549278;0.6526900209235359;0.6033205477934559;0.5356410480543564;0.5416406703814461;0.2535211267605634;0.3614191465468838;0.5818209325546915;0.20211068539804172;0.20430107526881722;0.5702818995339796;0.4600161987041037;0.5431545515767768;0.4545358362806444;0.5276893597478899;0.4707107782352066;0.48583211671053617;0.5387092756356648;0.49966772233831014;0.764778109103666;0.3364192495921697;0.5523195586219584;0.4240057844300204;0.24140349941320816;0.3839173178724477;0.4032167395377888;0.5079601361673464;0.4391255829923604;0.1487603305785124;0.1;0.46461803161510284;0.3721946609969289;0.5131278041555952;0.0;0.5342741658303203
01/01/18 10;0.47845951626167704;0.596191531650234;0.4136273055890259;0.539740283856156;0.3309120258272801;0.5837560688708088;0.3189582071471835;0.9261538461538462;0.5384081673109327;0.23052313013402503;0.5896985937537054;0.4809348093480935;0.08862275449101796;0.1244329144989663;0.4957855104938834;0.4029581993569132;0.527158862603848;0.32166042446941323;0.0;0.5467341143059993;0.24475731176104543;0.0851063829787234;0.0;0.5286965550736046;0.4849159120310479;0.40524206580053;0.5397468815073894;0.1518901890189019;0.26440111656234144;0.5294576563004413;0.3800755353119479;0.5456722637389673;0.5785464636243427;0.0;0.8088653655309296;0.4009747606614447;0.208282834560842;0.5642300385291456;0.43768455067134654;0.4019503219871205;;0.29778858003560177;0.4092978498851479;0.45466947081225484;0.646895970078105;0.5863457264636097;0.8007662835249042;0.18032786885245902;0.5843820664637118;0.5355237222382645;0.47025333513003637;0.2226332919661882;0.3247254632807138;0.4764380772307469;0.12180430999866151;0.4169168604257433;0.2412629554394311;0.08928571428571429;0.7979002624671917;0.31634834600088996;0.5371701322214297;0.0;0.5678191883760443;0.5159901511485583;0.23671788691372903;0.5717447717905663;0.2722678458622868;0.5517956814228532;0.5727851539223787;0.2613995772342218;0.6728781255826479;0.5955384466261407;0.5132526925202517;0.587336761257288;0.2535211267605634;0.4336749017405952;0.5780931344367455;0.1526740456932028;0.20430107526881722;0.6269369871629928;0.4321814254859611;0.5317309211237393;0.4537801154741392;0.5371593266505139;0.46570110609592774;0.4974157866132418;0.5227309122613477;0.5238024222733955;0.6958065433166595;0.31158238172920066;0.5327067859530094;0.47440682935931444;0.2919047619047619;0.37614162998584477;0.3913023110555902;0.5088803483574513;0.48625139488969643;0.256198347107438;0.15555555555555556;0.47328087343205416;0.4631467044649185;0.5381419610576295;0.0;0.5195842556058128
